address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
88 EVANSON ST,12082196000,2018,3,"$256,000",-97.1709808,49.8800683
184 EVANSON ST,12082308000,2018,3,"$339,000",-97.1708867,49.8829642
218 SHERBURN ST,12081379000,2018,3,"$360,000",-97.176432,49.883035
96 WALNUT ST,12082962000,2018,3,"$200,000",-97.1642677,49.8809061
746 WESTMINSTER AVE,12090081000,2018,3,"$285,000",-97.1621932,49.8817299
1086 LORETTE AVE,12015465100,2018,3,"$235,000",-97.1645638,49.8605461
1154 MULVEY AVE,12031150000,2018,3,"$294,500",-97.17141,49.8616525
318 THURSO ST,12031221000,2018,3,"$330,000",-97.1704266,49.8610529
1215 WARSAW CRES,12031071000,2018,3,"$416,000",-97.1739351,49.8622061
717 CAMPBELL ST,12062136000,2018,3,"$307,000",-97.1920842,49.8569559
1763 MATHERS AVE,12071239100,2018,3,"$249,000",-97.1992815,49.8536949
457 MONTROSE ST,12042253000,2018,3,"$331,000",-97.179427,49.864856
419 CENTENNIAL ST,12071970000,2018,3,"$201,000",-97.201336,49.866938
226 LANARK ST,12070867000,2018,3,"$237,000",-97.196866,49.870112
152 RENFREW ST,12070526000,2018,3,"$265,000",-97.19533,49.872234
180 RENFREW ST,12070518000,2018,3,"$310,000",-97.1955065,49.8714159
771 CAMBRIDGE ST,12041698200,2018,3,"$303,000",-97.1759671,49.8553818
1424 MATHERS BAY E,12052996200,2018,3,"$442,000",-97.182505,49.8519237
139 BOREBANK ST,12060702000,2018,3,"$290,000",-97.191875,49.874856
132 CAMPBELL ST,12060793000,2018,3,"$335,000",-97.1898134,49.8749419
119 LINDSAY ST,12061453000,2018,3,"$270,000",-97.193174,49.8752617
721 JUBILEE AVE,12001649000,2018,3,"$267,500",-97.1414965,49.8561515
761 JUBILEE AVE,12001641000,2018,3,"$151,000",-97.1427327,49.8557134
352 ROSEDALE AVE,12002329000,2018,3,"$340,000",-97.1337269,49.859349
572 ROSEDALE AVE,12002652000,2018,3,"$245,000",-97.142658,49.8564013
689 ROSEDALE AVE,12002697000,2018,3,"$205,000",-97.1472445,49.8552653
8 TAFT CRES,12011086000,2018,3,"$178,500",-97.1379605,49.8624844
173 BARTLET AVE,12000644000,2018,3,"$410,000",-97.1252932,49.8674718
137 MAPLEWOOD AVE,12000721000,2018,3,"$280,000",-97.122542,49.867386
211 BLOOMER CRES,1005871500,2018,3,"$480,000",-97.2574231,49.8600699
